customer_id,year_month,month_key,mrr,is_active,is_churned
1,2025-11,20251101,50.56,1,0
1,2025-12,20251201,50.71,1,0
1,2026-01,20260101,50.47,1,0
1,2026-02,20260201,50.56,1,0
1,2026-03,20260301,50.41,0,1
2,2025-11,20251101,109.5,1,0
2,2025-12,20251201,110.71,1,0
2,2026-01,20260101,110.27,1,0
2,2026-02,20260201,110.54,1,0
2,2026-03,20260301,110.67,1,0
2,2026-04,20260401,110.21,1,0
2,2026-05,20260501,110.35,0,1
3,2025-12,20251201,109.82,1,0
3,2026-01,20260101,110.58,1,0
3,2026-02,20260201,110.54,1,0
3,2026-03,20260301,110.81,1,0
3,2026-04,20260401,110.4,1,0
3,2026-05,20260501,111.37,1,0
3,2026-06,20260601,111.24,1,0
4,2025-11,20251101,116.81,1,0
4,2025-12,20251201,117.19,1,0
4,2026-01,20260101,116.24,1,0
4,2026-02,20260201,115.82,1,0
4,2026-03,20260301,116.42,1,0
4,2026-04,20260401,116.17,1,0
4,2026-05,20260501,116.28,1,0
4,2026-06,20260601,116.18,1,0
5,2025-11,20251101,52.19,1,0
5,2025-12,20251201,51.79,1,0
5,2026-01,20260101,51.92,1,0
5,2026-02,20260201,51.69,1,0
5,2026-03,20260301,51.69,1,0
5,2026-04,20260401,51.58,1,0
5,2026-05,20260501,51.75,1,0
5,2026-06,20260601,51.78,1,0
6,2025-11,20251101,49.79,1,0
6,2025-12,20251201,49.38,1,0
6,2026-01,20260101,49.85,1,0
6,2026-02,20260201,49.82,1,0
6,2026-03,20260301,49.6,1,0
6,2026-04,20260401,49.71,1,0
6,2026-05,20260501,49.87,1,0
6,2026-06,20260601,49.64,1,0
7,2025-11,20251101,113.58,1,0
7,2025-12,20251201,113.03,1,0
7,2026-01,20260101,112.8,1,0
7,2026-02,20260201,113.43,1,0
7,2026-03,20260301,113.36,1,0
7,2026-04,20260401,113.11,1,0
7,2026-05,20260501,112.68,1,0
7,2026-06,20260601,113.02,1,0
8,2026-01,20260101,125.14,1,0
8,2026-02,20260201,124.04,1,0
8,2026-03,20260301,124.91,1,0
8,2026-04,20260401,125.07,1,0
8,2026-05,20260501,124.33,1,0
8,2026-06,20260601,124.79,1,0
9,2025-12,20251201,43.81,1,0
9,2026-01,20260101,43.53,1,0
9,2026-02,20260201,43.53,1,0
9,2026-03,20260301,43.63,1,0
9,2026-04,20260401,43.3,1,0
9,2026-05,20260501,43.64,1,0
9,2026-06,20260601,43.67,1,0
10,2025-12,20251201,114.49,1,0
10,2026-01,20260101,114.76,1,0
10,2026-02,20260201,115.21,1,0
10,2026-03,20260301,114.16,1,0
10,2026-04,20260401,114.39,1,0
